Part Number,Name,Group,Material,Weight (kg),Dimensions (mm),Unit Price (USD),Supplier,Country of Origin,Lead Time (days),Stock,Minimum Stock,Lifecycle Status,Revision,Warranty (months),Fits,Fits Yachts,Description,PictureName
TRA-5118,Clutch and dual mass flywheel kit,Transmission,"Steel, organic friction lining",14.2,290 x 290 x 120,1120,Northline Components,Spain,24,20,8,Active,C,24,Meridian GT; Cityhop Compact; Foreman Crew Cab,,"The flywheel, clutch disc, cover and release bearing as one part number, because the flywheel is not worth reusing at this mileage. The lining is organic rather than ceramic for road use.",ClutchAndFlywheelKit.png
TRA-5204,Torque converter,Transmission,Stamped steel,12.8,320 x 320 x 150,860,Halden Industrial,Germany,33,14,6,Active,B,24,Longhaul Estate; Regent Executive; Nimbus Crossover,,"A lock up converter matched to the seven and eight speed automatics. The stall speed is set for towing, so the unit is not interchangeable with the sporting calibration.",TorqueConverter.png
DRV-6045,Rear differential unit,Drivetrain,"Cast iron housing, steel gears",32.4,480 x 380 x 330,2450,Grenfell Castings,Mexico,38,11,4,Active,E,36,Kestrel Sport Sedan; Velocia Coupe; Apex Hypercar,,A limited slip differential supplied as a filled assembly with the crown wheel and pinion already lapped as a pair. The pair is matched at the factory and must not be split.,RearDifferentialUnit.png
DRV-6132,Constant velocity joint,Drivetrain,Case hardened steel,3.1,180 x 120 x 120,210,Arbor Precision,Poland,16,88,36,Active,A,24,Cityhop Compact; Trailhead Wagon; Dune Runner,,"An outer joint supplied with the boot, clip and the correct quantity of grease. The boot is the part that fails first, which is why it is never sold separately from the joint.",ConstantVelocityJoint.png
BRK-7008,Front brake caliper,Braking,"Aluminium body, steel pistons",6.2,280 x 180 x 140,640,Vector Forge,Czechia,19,46,18,Active,C,24,Velocia Coupe; Apex Hypercar; Circuit One Racer,,"A six piston fixed caliper for the 380 mm disc, supplied without pads. The body is a single casting rather than two halves bolted together, so it holds its shape under sustained braking.",FrontBrakeCaliper.png
BRK-7091,Ventilated brake disc,Braking,Cast iron,9.8,380 x 380 x 36,320,Larkspur Metalworks,Turkiye,15,74,30,Active,B,24,Velocia Coupe; Auralis Grand Tourer; Circuit One Racer,,"A 380 mm internally vented disc with curved vanes, sold singly rather than in pairs. The vane direction makes it side specific, which the part number suffix records.",VentilatedBrakeDisc.png
BRK-7160,Brake master cylinder,Braking,Aluminium,2.4,220 x 110 x 110,380,Saltmarsh Engineering,Japan,23,35,14,Active,A,24,Kestrel Sport Sedan; Cityhop Compact; Trailhead Wagon,,"A tandem cylinder with the reservoir and level sensor fitted. Bore size differs between the towing and the standard build, so the two are not interchangeable.",BrakeMasterCylinder.png
SUS-8017,Front strut assembly,Suspension,"Steel body, forged aluminium knuckle",11.6,640 x 240 x 200,720,Cobalt Machining,Italy,27,29,12,Active,D,24,Trailhead Wagon; Nimbus Crossover; Cityhop Compact,,"A complete corner: damper, spring, upper mount and bearing assembled and aligned. Fitting it as a unit removes the spring compressor from the workshop procedure entirely.",FrontStrutAssembly.png
SUS-8103,Coil spring,Suspension,Spring steel,4.3,380 x 150 x 150,130,Larkspur Metalworks,Turkiye,13,140,60,Active,A,36,Cityhop Compact; Trailcut 200; Dune Runner,,"A progressive rate spring, powder coated after shot peening. Springs are supplied in matched pairs by axle because a single replacement pulls the ride height out of level.",CoilSpring.png
SUS-8188,Anti roll bar,Suspension,Tubular spring steel,5.9,1180 x 260 x 90,280,Grenfell Castings,Mexico,21,57,22,Active,B,36,Longhaul Estate; Foreman Crew Cab; Trailhead Wagon,,A hollow bar with the drop links and bushes included. Hollow section saves two kilograms over the solid bar at the same roll stiffness.,AntiRollBar.png
STE-9025,Steering rack,Steering,"Aluminium housing, steel rack",13.7,980 x 200 x 180,1680,Northline Components,Spain,31,17,7,Active,C,36,Regent Executive; Nimbus Crossover; Auralis Grand Tourer,,"An electrically assisted rack with the motor and control unit mounted on the housing. The unit is coded to the vehicle on fitting, so a used replacement will not work without it.",SteeringRack.png
ELE-9410,Alternator,Electrical,"Aluminium housing, copper windings",6.4,210 x 190 x 170,540,Saltmarsh Engineering,Japan,17,62,26,Active,E,24,Kestrel Sport Sedan; Longhaul Estate; Foreman Crew Cab,Solace 210; Fathom 72; Aster 105,A 180 ampere water cooled alternator with an overrunning pulley. The pulley is what keeps the belt quiet through the gear changes and is included in the price.,Alternator.png
ELE-9488,Starter motor,Electrical,"Steel housing, copper windings",4.8,270 x 130 x 130,430,Saltmarsh Engineering,Japan,18,58,24,Active,C,24,Meridian GT; Trailcut 200; Dune Runner,Solace 210; Sable 240; Sirocco 68; Avelon 295,"A gear reduction starter with the solenoid mounted on the drive end. Reduction gearing lets a smaller motor turn a cold engine, which is the whole reason the unit is this size.",StarterMotor.png
ELE-9532,Engine control unit,Electrical,Die cast aluminium case,1.2,180 x 140 x 40,1450,Vector Forge,Czechia,34,23,10,Active,G,36,Kestrel Sport Sedan; Concord Hybrid Saloon; Nimbus Crossover,Solace 210; Aster 105; Sable 240; Avelon 295,"The engine controller in a sealed cast case with two sockets on the end face. It is delivered blank and coded to the vehicle on fitting, so the part cannot be swapped between cars as it stands.",EngineControlUnit.png
ELE-9601,Ignition coil pack,Electrical,"Moulded epoxy, steel core",0.9,160 x 90 x 70,180,Arbor Precision,Poland,11,134,56,Active,B,24,Kestrel Sport Sedan; Cityhop Compact; Velocia Coupe,,"Four pencil coils on a common carrier, moulded rather than potted. The carrier keeps the plug boots aligned with the wells, which is what makes fitting it a two minute job.",IgnitionCoilPack.png
ELE-9675,Lithium starter battery,Electrical,"Lithium iron phosphate cells, polymer case",8.6,245 x 175 x 190,620,Northline Components,Spain,26,44,18,Active,A,48,Apex Hypercar; Circuit One Racer; Velocia Coupe,Fathom 72; Aster 105; Avelon 295,"A drop in replacement for the lead acid battery at a third of the weight, with the management electronics inside the case. Cold cranking performance is unchanged down to minus twenty.",LithiumStarterBattery.png
HVA-10120,Air conditioning compressor,HVAC,Aluminium housing,5.7,230 x 180 x 170,780,Halden Industrial,Germany,24,37,15,Active,D,24,Regent Executive; Longhaul Estate; Nimbus Crossover,Lumen 95,"A variable displacement compressor with an electromagnetic clutch pulley. Displacement follows cabin demand instead of cycling the clutch, which is both quieter and easier on the belt.",AirConditioningCompressor.png
HVA-10195,Heater core,HVAC,Aluminium,1.8,260 x 200 x 45,210,Larkspur Metalworks,Turkiye,16,79,32,Active,B,24,Cityhop Compact; Trailcut 200; Foreman Crew Cab,Lumen 95,"A small aluminium heat exchanger with two spigots on one face. Replacing it means opening the dashboard, which is why the part is cheap and the job is not.",HeaterCore.png
HVA-10240,Cabin blower motor,HVAC,"Composite housing, copper armature",2.3,200 x 190 x 120,190,Saltmarsh Engineering,Japan,14,92,38,Active,C,24,Kestrel Sport Sedan; Trailhead Wagon; Regent Executive,Lumen 95,"A squirrel cage blower with the speed resistor pack fitted to the housing. The resistor is the part that usually fails, and it is included rather than sold separately.",CabinBlowerMotor.png
BOD-11030,Front bumper carrier,Body,High strength steel,7.9,1420 x 220 x 120,460,Grenfell Castings,Mexico,29,26,10,Active,B,36,Longhaul Estate; Trailhead Wagon; Foreman Crew Cab,,"The structural beam behind the bumper cover, with two crush cans bolted to its ends. The cans are designed to fold at a known load, so the beam and the rails behind it survive a low speed impact.",FrontBumperCarrier.png
BOD-11115,Door mirror assembly,Body,"Polymer housing, glass",1.4,260 x 180 x 140,240,Northline Components,Spain,19,68,28,Active,E,24,Regent Executive; Nimbus Crossover; Concord Hybrid Saloon,,"A powered folding mirror with heating and the indicator repeater in the housing. The glass is supplied fitted and pre aimed, so no adjustment is needed on the line.",DoorMirrorAssembly.png
BOD-11180,Headlamp unit,Body,"Polycarbonate lens, polymer housing",3.6,620 x 320 x 240,980,Vector Forge,Czechia,32,19,8,Active,F,36,Kestrel Sport Sedan; Auralis Grand Tourer; Velocia Coupe,,A full LED headlamp with the driver module mounted on the housing. Beam pattern is set at the factory and only the vertical aim is adjustable once fitted.,HeadlampUnit.png
BOD-11245,Tail lamp unit,Body,"Polycarbonate lens, polymer housing",1.9,480 x 280 x 180,340,Vector Forge,Czechia,27,33,14,Active,D,36,Kestrel Sport Sedan; Longhaul Estate; Cityhop Compact,,"A sealed LED tail lamp with the connector moulded into the back of the housing. There are no serviceable bulbs inside, which is why the warranty runs to three years.",TailLampUnit.png
INT-12040,Instrument cluster,Interior,"Polymer housing, glass display",1.1,320 x 180 x 90,1180,Arbor Precision,Poland,30,21,9,Active,H,36,Concord Hybrid Saloon; Nimbus Crossover; Regent Executive,,"A twelve inch display cluster with the graphics stack on board. Mileage is written to the cluster on coding, so a replacement leaves the recorded distance intact.",InstrumentCluster.png
INT-12115,Steering wheel,Interior,"Magnesium frame, leather rim",2.7,380 x 380 x 110,690,Cobalt Machining,Italy,22,31,12,Active,C,24,Velocia Coupe; Apex Hypercar; Auralis Grand Tourer,,A flat bottomed wheel on a cast magnesium frame with the control switches wired in. The airbag module is not included and is ordered against its own part number.,SteeringWheel.png
INT-12180,Front seat frame,Interior,"Steel tube, steel pressings",13.4,560 x 520 x 620,540,Grenfell Castings,Mexico,28,17,7,Active,B,36,Longhaul Estate; Foreman Crew Cab; Trailhead Wagon,,"The bare frame with runners, recliner mechanism and the height adjuster fitted, supplied without foam or trim. Seat covers follow the trim level and are ordered separately.",FrontSeatFrame.png
WHL-13025,Alloy road wheel,Wheels,Cast aluminium alloy,11.2,480 x 480 x 230,420,Larkspur Metalworks,Turkiye,20,64,26,Active,A,24,Kestrel Sport Sedan; Meridian GT; Nimbus Crossover,,"A nineteen inch flow formed wheel, machined on the face and painted on the spokes. Flow forming gives the rim barrel the strength of a forging at close to casting cost.",AlloyRoadWheel.png
WHL-13090,Wheel hub bearing unit,Wheels,Case hardened steel,4.6,200 x 200 x 110,260,Arbor Precision,Poland,17,86,34,Active,D,36,Cityhop Compact; Trailcut 200; Dune Runner,,A sealed double row bearing with the flange and the speed sensor ring as one unit. Nothing inside is serviceable: the assembly is replaced complete.,WheelHubBearingUnit.png
CHA-14020,Front subframe,Chassis,Hydroformed steel,22.8,1240 x 780 x 260,1340,Cobalt Machining,Italy,36,12,5,Active,C,36,Nimbus Crossover; Trailhead Wagon; Regent Executive,,"The cradle that carries the lower arms, the steering rack and the engine mounts. It is hydroformed in one piece, so a bent subframe is replaced rather than straightened.",FrontSubframe.png
CHA-14085,Engine mount,Chassis,"Aluminium bracket, hydraulic bush",2.1,220 x 150 x 140,170,Halden Industrial,Germany,15,104,42,Active,B,24,Kestrel Sport Sedan; Concord Hybrid Saloon; Cityhop Compact,Northwind 180; Lumen 95; Bramble Bay 78,A hydraulically damped mount: fluid inside the bush takes out the idle shake that a plain rubber mount passes into the floor. Fitted orientation is marked on the bracket.,EngineMount.png
FUE-2210,Fuel tank,Fuel system,Multi layer polymer,12.6,980 x 640 x 320,690,Saltmarsh Engineering,Japan,31,15,6,Active,C,36,Longhaul Estate; Trailhead Wagon; Foreman Crew Cab,Cirrus 88; Windward 130; Peregrine 145,"A blow moulded tank with the pump flange, level sender and internal baffles in place. The multi layer wall is what keeps hydrocarbon permeation inside the legal limit.",FuelTank.png
FUE-2285,Evaporative canister,Fuel system,"Polymer housing, activated carbon",1.6,260 x 160 x 130,150,Northline Components,Spain,18,73,30,Active,A,24,Kestrel Sport Sedan; Meridian GT; Velocia Coupe,,The charcoal canister that holds tank vapour until the engine draws it in. It is a sealed part with three hose spigots and no service interval.,EvaporativeCanister.png
ENG-1402,Intake manifold,Engine,"Composite, aluminium flange",4.9,520 x 340 x 220,580,Vector Forge,Czechia,23,36,15,Active,D,24,Meridian GT; Cityhop Compact; Trailcut 200,Northwind 180; Calista 160; Marisol 115,"A composite manifold with variable length runners and the throttle body flange machined into the casting. Composite is chosen for the smoother bore surface, not only for the weight.",IntakeManifold.png
ENG-1475,Air filter housing,Engine,Moulded polymer,2.2,420 x 300 x 200,190,Larkspur Metalworks,Turkiye,13,98,40,Active,B,24,Trailcut 200; Dune Runner; Foreman Crew Cab,Northwind 180; Calista 160; Marisol 115,"A two piece airbox with the intake snorkel and the mass airflow sensor boss moulded in, supplied with a filter element fitted. The clips are the serviceable part and come in the box.",AirFilterHousing.png
DRV-6220,Transfer case,Drivetrain,"Cast aluminium case, steel gears",26.3,420 x 380 x 360,2180,Grenfell Castings,Mexico,40,8,3,Active,C,36,Trailcut 200; Foreman Crew Cab; Trailhead Wagon,,"A two speed transfer case with an electric range shift actuator on the housing. Low range is a mechanical reduction rather than a calibration, which is why it weighs what it does.",TransferCase.png
BRK-7230,Front brake pad set,Braking,Low metallic friction compound,3.2,180 x 90 x 40,120,Saltmarsh Engineering,Japan,10,152,64,Active,E,12,Kestrel Sport Sedan; Longhaul Estate; Cityhop Compact,,"Four pads with the wear sensor and the shims in the box. The compound is the road version, which is quiet cold at the cost of the fade resistance a track pad would give.",FrontBrakePadSet.png
